preprocessing,model,P@5,AP,R@30,P@10,P@1
lexeme,TF_IDF,0.4,0.1742,0.2867,0.38,0.6
lexeme,BM25,0.28,0.13,0.2733,0.28,0.6
lexeme,PL2,0.44,0.1612,0.2933,0.34,0.6
lexeme,DPH,0.36,0.1675,0.2867,0.38,0.6
stem,TF_IDF,0.4,0.1727,0.2867,0.38,0.6
stem,BM25,0.28,0.1324,0.2733,0.28,0.6
stem,PL2,0.44,0.1622,0.2933,0.34,0.6
stem,DPH,0.36,0.1711,0.2867,0.38,0.6
lemma,TF_IDF,0.4,0.1719,0.2867,0.38,0.6
lemma,BM25,0.28,0.1297,0.2733,0.28,0.6
lemma,PL2,0.44,0.1612,0.2933,0.34,0.6
lemma,DPH,0.36,0.1673,0.2867,0.38,0.6
