qid,docid,docno,rank,score,query
MB01,29,2043434628351136178,0,5.563327561445666,regime change iran
MB01,31,2042236709794885722,1,5.477764366331426,regime change iran
MB01,77,2042501468943442055,2,5.383170904048173,regime change iran
MB01,53,2041841357233213612,3,5.286616189835623,regime change iran
MB01,6,2041881768975081899,4,5.265685764550833,regime change iran
MB01,74,2043326328166899969,5,5.23154643486089,regime change iran
MB01,23,2041644201801035894,6,5.127978987232604,regime change iran
MB01,10,2044034612922331456,7,5.039568691213954,regime change iran
MB01,95,2041174157480566916,8,4.974369367719836,regime change iran
MB01,15,2044034311410553014,9,4.917011343210911,regime change iran
MB01,18,2042499145701749151,10,4.888377263236405,regime change iran
MB01,87,2044039731290272154,11,4.853820298167351,regime change iran
MB01,68,2041490526667522058,12,4.844273383120146,regime change iran
MB01,79,2041843235916566709,13,4.791274371534562,regime change iran
MB01,43,2041963699171192972,14,4.73213510346475,regime change iran
MB01,27,2045172271749210152,15,4.72913673630865,regime change iran
MB01,76,2041596252073193687,16,4.687309434940823,regime change iran
MB01,0,2044806410421014539,17,4.631428363486155,regime change iran
MB01,88,2044075700555071601,18,4.631428363486155,regime change iran
MB01,7,2044016360137588882,19,4.612818361261923,regime change iran
MB01,33,2041917157068447897,20,4.612818361261923,regime change iran
MB01,56,2044168308577185996,21,4.5983227476109105,regime change iran
MB01,28,2041753026185085075,22,4.563993542209739,regime change iran
MB01,92,2044144543658860907,23,4.489701087832666,regime change iran
MB01,22,2042970559621853690,24,4.444968402753716,regime change iran
MB01,8,2042245788697284676,25,4.411949572163178,regime change iran
MB01,2,2042319239080550588,26,4.411546309973049,regime change iran
MB01,61,2044145265284661363,27,4.411546309973049,regime change iran
MB01,67,2041263820396495283,28,4.411546309973049,regime change iran
MB01,70,2044130719505465402,29,4.411546309973049,regime change iran
MB02,120,2043418350387110082,0,6.693085515481099,closing hormuz strait
MB02,103,2045150989913612612,1,6.582801298846606,closing hormuz strait
MB02,152,2041434614648951268,2,6.309338665622982,closing hormuz strait
MB02,197,2043343387575701834,3,6.206847313430014,closing hormuz strait
MB02,189,2043324138291445905,4,6.05002359093525,closing hormuz strait
MB02,188,2043407376716345652,5,5.972538932185195,closing hormuz strait
MB02,121,2041949040837837252,6,5.809061197046532,closing hormuz strait
MB02,107,2044771965043400891,7,5.645018760036168,closing hormuz strait
MB02,194,2043460973294694612,8,5.464262766850253,closing hormuz strait
MB02,173,2044397673944408078,9,5.418297995876229,closing hormuz strait
MB02,157,2043766341778235579,10,5.331593635454994,closing hormuz strait
MB02,169,2044103405686210864,11,5.331593635454994,closing hormuz strait
MB02,183,2041950790550769731,12,5.331593635454994,closing hormuz strait
MB02,145,2044037498343465128,13,5.328222427858181,closing hormuz strait
MB02,134,2041576790263579061,14,5.321058385899043,closing hormuz strait
MB02,32,2042136199440019468,15,5.305651059861886,closing hormuz strait
MB02,146,2040487565157904395,16,5.305651059861886,closing hormuz strait
MB02,179,2041130825069301994,17,5.294850261086501,closing hormuz strait
MB02,192,2043692875964092495,18,5.294850261086501,closing hormuz strait
MB02,118,2042655965615456529,19,5.291920338419511,closing hormuz strait
MB02,137,2044103866233356363,20,5.291920338419511,closing hormuz strait
MB02,156,2043663079498490067,21,5.291920338419511,closing hormuz strait
MB02,181,2041937773414752628,22,5.291920338419511,closing hormuz strait
MB02,190,2043439984212885807,23,5.246812425458925,closing hormuz strait
MB02,131,2041931872956014955,24,5.237896179627714,closing hormuz strait
MB02,150,2043448165970395335,25,5.237896179627714,closing hormuz strait
MB02,168,2041584356498555056,26,5.237896179627714,closing hormuz strait
MB02,193,2041898599429156997,27,5.237896179627714,closing hormuz strait
MB02,195,2040981683747324047,28,5.237896179627714,closing hormuz strait
MB02,126,2043363518292930693,29,5.174882234668537,closing hormuz strait
MB03,230,2040755876144017464,0,4.969394715956791,u base attacked
MB03,260,2045112504867754154,1,4.886827883402811,u base attacked
MB03,242,2043227373517324559,2,4.677135098497558,u base attacked
MB03,205,2039668667571437732,3,4.6698998978576345,u base attacked
MB03,270,2041500399077929171,4,4.667539927011983,u base attacked
MB03,276,2043268261878583582,5,4.666491925593377,u base attacked
MB03,203,2039179006243926202,6,4.605530298150713,u base attacked
MB03,274,2040936761132552392,7,4.595600606291567,u base attacked
MB03,219,2041136243082252670,8,4.579866233769031,u base attacked
MB03,250,2043515062267027870,9,4.579866233769031,u base attacked
MB03,262,2041681711222649284,10,4.480323585469485,u base attacked
MB03,225,2040921742693048626,11,4.317622111485693,u base attacked
MB03,235,2041067504345165849,12,4.317622111485693,u base attacked
MB03,236,2041004698598084709,13,4.248537782448498,u base attacked
MB03,279,2041473438485729762,14,4.143358012753134,u base attacked
MB03,216,2041497394941186106,15,4.106481847389311,u base attacked
MB03,245,2040754946946285878,16,4.068933719505538,u base attacked
MB03,210,2043473123924717596,17,4.051017696546966,u base attacked
MB03,228,2043473194577801435,18,4.051017696546966,u base attacked
MB03,268,2041855968988778613,19,4.0131379474605655,u base attacked
MB03,280,2039018369110647293,20,4.000289602463343,u base attacked
MB03,277,2040350901848953257,21,3.978131577263455,u base attacked
MB03,200,2041127558146621848,22,3.9048692476795055,u base attacked
MB03,286,2039377679028551842,23,3.892201057404203,u base attacked
MB03,208,2041129259033415983,24,3.83219430395246,u base attacked
MB03,213,2040313860599562300,25,3.7577156376242185,u base attacked
MB03,247,2041551703384735776,26,3.733380932694934,u base attacked
MB03,288,2042960648993227137,27,3.733380932694934,u base attacked
MB03,261,2042726240302567447,28,3.7275557006166515,u base attacked
MB03,290,2040030079653200036,29,3.7275557006166515,u base attacked
MB04,398,2042320390253645921,0,7.245819946818862,supreme leader khamenei
MB04,371,2041194140697043388,1,6.317245508661252,supreme leader khamenei
MB04,373,2044332687696007646,2,6.199517232434141,supreme leader khamenei
MB04,327,2042289031115846002,3,6.179840717978385,supreme leader khamenei
MB04,391,2042308016532496740,4,6.1608717317844635,supreme leader khamenei
MB04,377,2042939580156903434,5,6.148963930562212,supreme leader khamenei
MB04,389,2041687803843486000,6,6.055965637693161,supreme leader khamenei
MB04,375,2041979048478273699,7,5.951823063986402,supreme leader khamenei
