qid,docid,docno,rank,score,query
MB01,337,2050252725258948738,0,7.708014160154071,regime change iran
MB01,1781,2050735956500619400,1,7.457236220188307,regime change iran
MB01,329,2051362450373488768,2,7.436303203594284,regime change iran
MB01,351,2051346751345578094,3,7.11819554297926,regime change iran
MB01,399,2049179596667474130,4,7.04382067269884,regime change iran
MB01,300,2050920561681879167,5,6.722590762429096,regime change iran
MB01,396,2051314141345018260,6,6.547703919810849,regime change iran
MB01,374,2047269506855182701,7,6.359382650283629,regime change iran
MB01,334,2047415145907777824,8,6.251254578606236,regime change iran
MB01,346,2051073687067951141,9,6.251254578606236,regime change iran
MB01,348,2047409326067732832,10,6.251254578606236,regime change iran
MB01,262,2051147251691802962,11,6.233113561507835,regime change iran
MB01,326,2048613789340188783,12,6.1835085190298775,regime change iran
MB01,340,2050912069730673025,13,6.1835085190298775,regime change iran
MB01,313,2050757718563316120,14,6.069128758173415,regime change iran
MB01,355,2050941336271085614,15,6.069128758173415,regime change iran
MB01,349,2047410594555580916,16,6.049476796225918,regime change iran
MB01,392,2051060841819078885,17,6.049476796225918,regime change iran
MB01,361,2047410197107298812,18,6.045555598193999,regime change iran
MB01,319,2050919552532533380,19,5.539172220935827,regime change iran
MB01,338,2051401022539456982,20,5.539172220935827,regime change iran
MB01,375,2048677465795473468,21,5.433438843495433,regime change iran
MB01,381,2051206827678032314,22,5.409498953031927,regime change iran
MB01,330,2051225754642637228,23,5.393621501786802,regime change iran
MB01,333,2050929718208462933,24,5.393621501786802,regime change iran
MB01,388,2051308726540194044,25,5.393621501786802,regime change iran
MB01,318,2049114612310675484,26,5.311050172098493,regime change iran
MB01,336,2050367102020968621,27,5.303259998702884,regime change iran
MB01,311,2048893095844974988,28,5.2747289201138035,regime change iran
MB01,366,2049868793048912376,29,5.221335387007704,regime change iran
MB02,429,2051312817299747055,0,8.160862872313714,closing hormuz strait
MB02,440,2049099228379558024,1,7.744951527198166,closing hormuz strait
MB02,443,2051287405844627525,2,7.744951527198166,closing hormuz strait
MB02,471,2051285868267069946,3,7.744951527198166,closing hormuz strait
MB02,433,2051332120493122003,4,7.390387493159315,closing hormuz strait
MB02,468,2051306050524000632,5,7.080657276367562,closing hormuz strait
MB02,482,2051343135054442761,6,7.080657276367562,closing hormuz strait
MB02,494,2050695132719051001,7,7.080657276367562,closing hormuz strait
MB02,499,2051286873792753671,8,7.080657276367562,closing hormuz strait
MB02,476,2051377401771225142,9,6.805393556260047,closing hormuz strait
MB02,477,2051334784773763247,10,6.805393556260047,closing hormuz strait
MB02,487,2051294906824454476,11,6.805393556260047,closing hormuz strait
MB02,488,2050950921568522515,12,6.805393556260047,closing hormuz strait
MB02,466,2051281415195525542,13,6.730677739570522,closing hormuz strait
