qid,docid,docno,rank,score,query
MB01,337,2050252725258948738,0,7.699013204393599,regime change iran
MB01,1781,2050735956500619400,1,7.671912003201465,regime change iran
MB01,329,2051362450373488768,2,7.540949278866986,regime change iran
MB01,351,2051346751345578094,3,7.407375846751303,regime change iran
MB01,399,2049179596667474130,4,7.294351108336591,regime change iran
MB01,300,2050920561681879167,5,7.128969908132103,regime change iran
MB01,334,2047415145907777824,6,6.7936313477029175,regime change iran
MB01,346,2051073687067951141,7,6.7936313477029175,regime change iran
MB01,348,2047409326067732832,8,6.7936313477029175,regime change iran
MB01,396,2051314141345018260,9,6.789239638767886,regime change iran
MB01,262,2051147251691802962,10,6.694006216578764,regime change iran
MB01,349,2047410594555580916,11,6.637520671443654,regime change iran
MB01,392,2051060841819078885,12,6.637520671443654,regime change iran
MB01,313,2050757718563316120,13,6.617367610832778,regime change iran
MB01,355,2050941336271085614,14,6.617367610832778,regime change iran
MB01,361,2047410197107298812,15,6.6008686424541105,regime change iran
MB01,326,2048613789340188783,16,6.574593095957308,regime change iran
MB01,340,2050912069730673025,17,6.574593095957308,regime change iran
MB01,374,2047269506855182701,18,6.410438320590131,regime change iran
MB01,319,2050919552532533380,19,6.209459641532731,regime change iran
MB01,338,2051401022539456982,20,6.209459641532731,regime change iran
MB01,381,2051206827678032314,21,6.100193210709264,regime change iran
MB01,330,2051225754642637228,22,6.078783816924828,regime change iran
MB01,333,2050929718208462933,23,6.078783816924828,regime change iran
MB01,388,2051308726540194044,24,6.078783816924828,regime change iran
MB01,311,2048893095844974988,25,5.986890450589595,regime change iran
MB01,336,2050367102020968621,26,5.955558467440962,regime change iran
MB01,332,2051229913588564258,27,5.877797245388029,regime change iran
MB01,387,2051100290670346578,28,5.877797245388029,regime change iran
MB01,318,2049114612310675484,29,5.848819005947021,regime change iran
MB02,429,2051312817299747055,0,7.845017877265338,closing hormuz strait
MB02,440,2049099228379558024,1,7.6413466371903045,closing hormuz strait
MB02,443,2051287405844627525,2,7.6413466371903045,closing hormuz strait
MB02,471,2051285868267069946,3,7.6413466371903045,closing hormuz strait
MB02,433,2051332120493122003,4,7.447983156162472,closing hormuz strait
MB02,468,2051306050524000632,5,7.264164236511139,closing hormuz strait
MB02,482,2051343135054442761,6,7.264164236511139,closing hormuz strait
MB02,494,2050695132719051001,7,7.264164236511139,closing hormuz strait
MB02,499,2051286873792753671,8,7.264164236511139,closing hormuz strait
MB02,476,2051377401771225142,9,7.0892002098159175,closing hormuz strait
MB02,477,2051334784773763247,10,7.0892002098159175,closing hormuz strait
MB02,487,2051294906824454476,11,7.0892002098159175,closing hormuz strait
MB02,488,2050950921568522515,12,7.0892002098159175,closing hormuz strait
MB02,466,2051281415195525542,13,7.016416053379023,closing hormuz strait
MB02,478,2046561586874298459,14,6.926067651757526,closing hormuz strait
MB02,407,2051338552110403980,15,6.922466290077938,closing hormuz strait
MB02,486,2050541960125935683,16,6.7633951190625385,closing hormuz strait
MB02,451,2051315864662671740,17,6.726672179434525,closing hormuz strait
MB02,439,2046953645061906568,18,6.611470316356912,closing hormuz strait
MB02,489,2051345158810001714,19,6.611470316356912,closing hormuz strait
MB02,475,2051339627215102056,20,6.5557511536771855,closing hormuz strait
MB02,470,2046691205019255002,21,6.483481383108241,closing hormuz strait
MB02,438,2049518671828000773,22,6.4662208796324,closing hormuz strait
MB02,442,2046495825728016449,23,6.4662208796324,closing hormuz strait
MB02,497,2046569003561398337,24,6.4662208796324,closing hormuz strait
MB02,421,2050923077228261591,25,6.3272163071733205,closing hormuz strait
MB02,481,2051010148982817157,26,6.3272163071733205,closing hormuz strait
