qid,docid,docno,rank,score,query
MB01,374,2047269506855182701,0,11.128727420971286,regime change iran
MB01,337,2050252725258948738,1,10.160035548634337,regime change iran
MB01,1781,2050735956500619400,2,10.112813208472,regime change iran
MB01,375,2048677465795473468,3,10.072938822212175,regime change iran
MB01,351,2051346751345578094,4,9.97209698587432,regime change iran
MB01,399,2049179596667474130,5,9.8670955362875,regime change iran
MB01,329,2051362450373488768,6,9.586420447914897,regime change iran
MB01,396,2051314141345018260,7,9.485385966963014,regime change iran
MB01,340,2050912069730673025,8,9.449882112265291,regime change iran
MB01,300,2050920561681879167,9,9.401119982362449,regime change iran
MB01,326,2048613789340188783,10,9.341264777829377,regime change iran
MB01,262,2051147251691802962,11,9.205452029841705,regime change iran
MB01,334,2047415145907777824,12,8.955175225271866,regime change iran
MB01,346,2051073687067951141,13,8.955175225271866,regime change iran
MB01,348,2047409326067732832,14,8.955175225271866,regime change iran
MB01,349,2047410594555580916,15,8.747700416698812,regime change iran
MB01,392,2051060841819078885,16,8.747700416698812,regime change iran
MB01,313,2050757718563316120,17,8.712671594248423,regime change iran
MB01,355,2050941336271085614,18,8.712671594248423,regime change iran
MB01,388,2051308726540194044,19,8.360314442673586,regime change iran
MB01,319,2050919552532533380,20,8.17920908206011,regime change iran
MB01,338,2051401022539456982,21,8.17920908206011,regime change iran
MB01,361,2047410197107298812,22,8.070129094691186,regime change iran
MB01,330,2051225754642637228,23,8.005783744767886,regime change iran
MB01,333,2050929718208462933,24,8.005783744767886,regime change iran
MB01,318,2049114612310675484,25,7.978915458286288,regime change iran
MB01,366,2049868793048912376,26,7.978915458286288,regime change iran
MB01,380,2047314680876564501,27,7.864178282765328,regime change iran
MB01,385,2051050064202928199,28,7.752802832475453,regime change iran
MB01,394,2051399311767097365,29,7.699085143682911,regime change iran
MB02,429,2051312817299747055,0,12.340715610713355,closing hormuz strait
MB02,440,2049099228379558024,1,12.017344569940512,closing hormuz strait
MB02,443,2051287405844627525,2,12.017344569940512,closing hormuz strait
MB02,471,2051285868267069946,3,12.017344569940512,closing hormuz strait
MB02,433,2051332120493122003,4,11.710487760772084,closing hormuz strait
MB02,468,2051306050524000632,5,11.418911633643244,closing hormuz strait
MB02,482,2051343135054442761,6,11.418911633643244,closing hormuz strait
MB02,494,2050695132719051001,7,11.418911633643244,closing hormuz strait
MB02,499,2051286873792753671,8,11.418911633643244,closing hormuz strait
MB02,478,2046561586874298459,9,11.221719119495013,closing hormuz strait
MB02,407,2051338552110403980,10,11.141502509574133,closing hormuz strait
MB02,476,2051377401771225142,11,11.141502509574133,closing hormuz strait
MB02,477,2051334784773763247,12,11.141502509574133,closing hormuz strait
MB02,487,2051294906824454476,13,11.141502509574133,closing hormuz strait
MB02,488,2050950921568522515,14,11.141502509574133,closing hormuz strait
MB02,466,2051281415195525542,15,11.122662813321693,closing hormuz strait
MB02,475,2051339627215102056,16,10.674646794736258,closing hormuz strait
MB02,486,2050541960125935683,17,10.625246592243398,closing hormuz strait
MB02,439,2046953645061906568,18,10.384653423823305,closing hormuz strait
MB02,489,2051345158810001714,19,10.384653423823305,closing hormuz strait
MB02,470,2046691205019255002,20,10.349395828052018,closing hormuz strait
MB02,451,2051315864662671740,21,10.294248930987614,closing hormuz strait
MB02,438,2049518671828000773,22,10.154714760524847,closing hormuz strait
MB02,442,2046495825728016449,23,10.154714760524847,closing hormuz strait
MB02,497,2046569003561398337,24,10.154714760524847,closing hormuz strait
MB02,421,2050923077228261591,25,9.934738192509098,closing hormuz strait
MB02,481,2051010148982817157,26,9.934738192509098,closing hormuz strait
MB02,496,2051383557919027639,27,9.934738192509098,closing hormuz strait
MB02,1118,2051409793701548504,28,9.934738192509098,closing hormuz strait
MB02,1339,2049248050137461040,29,9.934738192509098,closing hormuz strait
MB03,134,2045112504867754154,0,10.52158350771418,us bases attacked
MB03,1686,2042891517090738583,1,9.075567729129476,us bases attacked
MB03,176,2050488064481571116,2,9.06132081622829,us bases attacked
MB03,113,2050488552505725230,3,9.021346455995108,us bases attacked
MB03,178,2051111881486606670,4,9.021346455995108,us bases attacked
MB03,152,2051370055556809084,5,8.835705548594591,us bases attacked
MB03,195,2050962939751133400,6,8.835705548594591,us bases attacked
MB03,146,2043227373517324559,7,8.753054018194872,us bases attacked
MB03,136,2050956771485757701,8,8.703214864128674,us bases attacked
MB03,145,2049873661088367063,9,8.621052399905132,us bases attacked
MB03,185,2050278002831888530,10,8.621052399905132,us bases attacked
MB03,126,2051396546844148125,11,8.416581383390417,us bases attacked
MB03,158,2048043136702611519,12,8.416581383390417,us bases attacked
MB03,183,2050507466568265820,13,8.416581383390417,us bases attacked
MB03,155,2051396733049966782,14,8.283952384874878,us bases attacked
MB03,118,2051397360995926169,15,8.221584795670891,us bases attacked
MB03,175,2051028240215523417,16,8.221584795670891,us bases attacked
MB03,182,2051231386824998956,17,8.221584795670891,us bases attacked
MB03,1670,2042886172519661650,18,8.152147294849708,us bases attacked
MB03,130,2051369426642170003,19,8.103138121807824,us bases attacked
MB03,135,2050295481478119551,20,8.09526212631611,us bases attacked
MB03,168,2051331866418921490,21,8.013371649160716,us bases attacked
MB03,167,2048070114403340297,22,7.996129234941334,us bases attacked
MB03,174,2048082921081180375,23,7.996129234941334,us bases attacked
MB03,164,2050975183087817069,24,7.882474198421592,us bases attacked
MB03,162,2051337311397298237,25,7.857497494736107,us bases attacked
MB03,170,2050223651035738130,26,7.834224103493228,us bases attacked
MB03,138,2050262037767348310,27,7.687284409204292,us bases attacked
MB03,161,2050637628064838090,28,7.687284409204292,us bases attacked
MB03,192,2050222821788266955,29,7.664901603149063,us bases attacked
MB04,86,2048456192842944972,0,19.168023161991144,supreme leader khamenei
MB04,46,2051405628535366076,1,18.359447922784458,supreme leader khamenei
MB04,55,2049510518202024286,2,17.504033741458237,supreme leader khamenei
MB04,6,2047307344107978789,3,17.426742621346992,supreme leader khamenei
MB04,8,2046873747320111197,4,17.38653615148386,supreme leader khamenei
MB04,14,2050061459787588004,5,17.323188036834736,supreme leader khamenei
MB04,5,2049725355083329803,6,16.440426008433235,supreme leader khamenei
MB04,20,2051053985054753183,7,16.402083806944812,supreme leader khamenei
MB04,13,2050679458592387141,8,16.280833695886905,supreme leader khamenei
MB04,94,2047434484606222762,9,16.21711004549443,supreme leader khamenei
MB04,65,2049968407442026887,10,15.988080953958534,supreme leader khamenei
MB04,30,2050665278418071791,11,15.920340862411248,supreme leader khamenei
MB04,72,2050664582872506597,12,15.920340862411248,supreme leader khamenei
MB04,9,2048389907572519393,13,15.575466385171563,supreme leader khamenei
MB04,15,2048036607735799846,14,15.575466385171563,supreme leader khamenei
MB04,77,2047707919370903938,15,15.575466385171563,supreme leader khamenei
MB04,17,2049862984114074046,16,15.245216787168653,supreme leader khamenei
MB04,41,2050652951971041669,17,15.245216787168653,supreme leader khamenei
MB04,22,2050016223950176403,18,14.928681101459475,supreme leader khamenei
MB04,38,2050464813751603692,19,14.928681101459475,supreme leader khamenei
MB04,45,2050382282465202350,20,14.928681101459475,supreme leader khamenei
MB04,60,2048160701819007330,21,14.883530425464887,supreme leader khamenei
MB04,3,2047725647552798752,22,14.625022479628804,supreme leader khamenei
MB04,50,2050488847881163199,23,14.625022479628804,supreme leader khamenei
MB04,53,2050446458348777687,24,14.625022479628804,supreme leader khamenei
MB04,58,2050210420930035793,25,14.625022479628804,supreme leader khamenei
MB04,62,2048346275574173959,26,14.625022479628804,supreme leader khamenei
MB04,70,2049719179100528844,27,14.625022479628804,supreme leader khamenei
MB04,1529,1912513816224755774,28,14.421159010976979,supreme leader khamenei
MB04,33,2050516928276603031,29,14.333470803978056,supreme leader khamenei
MB05,204,2051274679332258047,0,9.077529201253425,iran nuclear deal
MB05,224,2051186756763148301,1,8.810167130983114,iran nuclear deal
MB05,266,2050996547136131134,2,8.095697352478727,iran nuclear deal
MB05,233,2050819869696745664,3,7.951380723141614,iran nuclear deal
MB05,263,2050932876359692745,4,7.932719679130614,iran nuclear deal
MB05,1792,1922908233968054407,5,7.889104240819983,iran nuclear deal
MB05,274,2050605381185868057,6,7.801881224209702,iran nuclear deal
MB05,223,2051141630023889384,7,7.7075102753116305,iran nuclear deal
MB05,205,2049649902037172423,8,7.634406650811892,iran nuclear deal
MB05,206,2051121816488313284,9,7.525455622697705,iran nuclear deal
MB05,201,2050262265316639089,10,7.519979496317047,iran nuclear deal
MB05,214,2051355836979548636,11,7.51914406056076,iran nuclear deal
MB05,227,2051342478360354922,12,7.51914406056076,iran nuclear deal
MB05,246,2048456689712828445,13,7.502814657821043,iran nuclear deal
MB05,1005,2048456689712828445,14,7.502814657821043,iran nuclear deal
MB05,1068,2050987048639598800,15,7.437577343391559,iran nuclear deal
MB05,294,2049164472460140695,16,7.387790387289042,iran nuclear deal
MB05,226,2051364409490952585,17,7.3813604520392095,iran nuclear deal
MB05,261,2050895231877353887,18,7.214220340702565,iran nuclear deal
MB05,273,2050681029200118036,19,7.214220340702565,iran nuclear deal
MB05,290,2048847147442049048,20,7.214220340702565,iran nuclear deal
MB05,291,2049820948887396425,21,7.207104784689024,iran nuclear deal
MB05,1519,2050534512954868058,22,7.194062248677987,iran nuclear deal
MB05,1544,2050622138877678010,23,7.194062248677987,iran nuclear deal
MB05,289,2049200720511918099,24,7.054481915722853,iran nuclear deal
MB05,249,2051372162284400873,25,6.998858748175387,iran nuclear deal
MB05,1368,2051386729236668777,26,6.993037838766467,iran nuclear deal
MB05,231,2050520209883111527,27,6.901664159877815,iran nuclear deal
MB05,259,2050974628898566307,28,6.901664159877815,iran nuclear deal
MB05,280,2048485513972040037,29,6.901664159877815,iran nuclear deal
MB06,751,2044860624304222674,0,15.904873676950796,middle east conflict escalation
MB06,731,2051349723324580025,1,14.144032345058545,middle east conflict escalation
MB06,794,2050499441585795095,2,13.837637161486798,middle east conflict escalation
MB06,748,2047513910417428776,3,13.544235089479388,middle east conflict escalation
MB06,741,2034647608497479713,4,12.485320517101464,middle east conflict escalation
MB06,760,1935434847415160937,5,12.485320517101464,middle east conflict escalation
MB06,727,2051279117413433718,6,12.245967150469376,middle east conflict escalation
MB06,742,2041567663562907773,7,12.144729267163203,middle east conflict escalation
MB06,2142,2041567663562907773,8,12.144729267163203,middle east conflict escalation
MB06,747,2039783630805811420,9,12.049119006126016,middle east conflict escalation
MB06,2169,2039783630805811420,10,12.049119006126016,middle east conflict escalation
MB06,753,2036403294784966768,11,11.99037865412874,middle east conflict escalation
MB06,780,2029246839652819015,12,11.96053348760016,middle east conflict escalation
MB06,764,2050733829309280385,13,11.888634137624681,middle east conflict escalation
MB06,710,2029555026268471356,14,11.793775341778423,middle east conflict escalation
MB06,785,2051341013579436291,15,11.793775341778423,middle east conflict escalation
MB06,752,2032707045733052696,16,11.373789372139392,middle east conflict escalation
MB06,756,2031536231155175483,17,11.373789372139392,middle east conflict escalation
MB06,778,2030284959773229395,18,11.373789372139392,middle east conflict escalation
MB06,779,2037822131871056199,19,11.373789372139392,middle east conflict escalation
MB06,750,2032413236193341682,20,11.236641717704456,middle east conflict escalation
MB06,745,2034020409499107446,21,11.174817189906268,middle east conflict escalation
MB06,788,2050641207756292426,22,11.04272310693019,middle east conflict escalation
MB06,784,2050658411717513365,23,10.982686923341518,middle east conflict escalation
MB06,719,2036491080619999284,24,10.797051635216956,middle east conflict escalation
MB06,746,2031303877434421670,25,10.797051635216956,middle east conflict escalation
MB06,749,2034969170614657381,26,10.797051635216956,middle east conflict escalation
MB06,763,2029568383897985525,27,10.797051635216956,middle east conflict escalation
MB06,787,2050915640089735309,28,10.797051635216956,middle east conflict escalation
MB06,2035,2051075098283769927,29,10.786883683903598,middle east conflict escalation
