qid,docid,docno,rank,score,query
MB01,351,2051346751345578094,0,7.635009871815629,regime change iran
MB01,1781,2050735956500619400,1,7.552298886641788,regime change iran
MB01,313,2050757718563316120,2,7.150064252624293,regime change iran
MB01,355,2050941336271085614,3,7.150064252624293,regime change iran
MB01,340,2050912069730673025,4,6.864014323578877,regime change iran
MB01,326,2048613789340188783,5,6.820033977336022,regime change iran
MB01,329,2051362450373488768,6,6.74700881411577,regime change iran
MB01,396,2051314141345018260,7,6.488912232460182,regime change iran
MB01,262,2051147251691802962,8,6.455042947818245,regime change iran
MB01,399,2049179596667474130,9,6.4417135469610125,regime change iran
MB01,336,2050367102020968621,10,6.40284325988471,regime change iran
MB01,361,2047410197107298812,11,6.353009117249044,regime change iran
MB01,381,2051206827678032314,12,6.168908951096568,regime change iran
MB01,311,2048893095844974988,13,6.110339296080123,regime change iran
MB01,334,2047415145907777824,14,6.08979123948257,regime change iran
MB01,346,2051073687067951141,15,6.08979123948257,regime change iran
MB01,348,2047409326067732832,16,6.08979123948257,regime change iran
MB01,349,2047410594555580916,17,6.069191350923405,regime change iran
MB01,392,2051060841819078885,18,6.069191350923405,regime change iran
MB01,332,2051229913588564258,19,6.049629308775838,regime change iran
MB01,387,2051100290670346578,20,6.049629308775838,regime change iran
MB01,318,2049114612310675484,21,6.0409461625185426,regime change iran
MB01,366,2049868793048912376,22,6.0409461625185426,regime change iran
MB01,300,2050920561681879167,23,6.033230148950148,regime change iran
MB01,369,2051092004612833514,24,6.027527349774666,regime change iran
MB01,378,2051341699545460849,25,5.987582347593353,regime change iran
MB01,380,2047314680876564501,26,5.987023032943635,regime change iran
MB01,388,2051308726540194044,27,5.98120761629552,regime change iran
MB01,382,2051363724162654640,28,5.973158041235836,regime change iran
MB01,385,2051050064202928199,29,5.933096285958133,regime change iran
MB02,478,2046561586874298459,0,7.534446252503464,closing hormuz strait
MB02,451,2051315864662671740,1,7.506183027567438,closing hormuz strait
MB02,466,2051281415195525542,2,7.374107613996683,closing hormuz strait
MB02,475,2051339627215102056,3,7.264188951595731,closing hormuz strait
MB02,406,2050325322026172420,4,6.859696767238491,closing hormuz strait
MB02,470,2046691205019255002,5,6.735700271838619,closing hormuz strait
MB02,419,2050561024009662585,6,6.705704134966728,closing hormuz strait
MB02,1392,2051314420052037664,7,6.705704134966728,closing hormuz strait
MB02,465,2051008400218026348,8,6.670039536614076,closing hormuz strait
MB02,427,2049409587640492279,9,6.552685208406715,closing hormuz strait
MB02,486,2050541960125935683,10,6.434421769071837,closing hormuz strait
MB02,407,2051338552110403980,11,6.428295631560847,closing hormuz strait
MB02,476,2051377401771225142,12,6.428295631560847,closing hormuz strait
MB02,477,2051334784773763247,13,6.428295631560847,closing hormuz strait
MB02,487,2051294906824454476,14,6.428295631560847,closing hormuz strait
MB02,488,2050950921568522515,15,6.428295631560847,closing hormuz strait
MB02,439,2046953645061906568,16,6.403595017146665,closing hormuz strait
MB02,489,2051345158810001714,17,6.403595017146665,closing hormuz strait
MB02,468,2051306050524000632,18,6.364504904640335,closing hormuz strait
MB02,482,2051343135054442761,19,6.364504904640335,closing hormuz strait
MB02,494,2050695132719051001,20,6.364504904640335,closing hormuz strait
MB02,499,2051286873792753671,21,6.364504904640335,closing hormuz strait
MB02,438,2049518671828000773,22,6.3600903374543005,closing hormuz strait
MB02,442,2046495825728016449,23,6.3600903374543005,closing hormuz strait
MB02,497,2046569003561398337,24,6.3600903374543005,closing hormuz strait
MB02,418,2046891003949248831,25,6.3454343100130775,closing hormuz strait
MB02,484,2051336479352164669,26,6.3454343100130775,closing hormuz strait
MB02,421,2050923077228261591,27,6.3081863158488485,closing hormuz strait
MB02,481,2051010148982817157,28,6.3081863158488485,closing hormuz strait
MB02,496,2051383557919027639,29,6.3081863158488485,closing hormuz strait
MB03,134,2045112504867754154,0,5.854047908663036,us bases attacked
MB03,146,2043227373517324559,1,5.806416526108151,us bases attacked
MB03,1686,2042891517090738583,2,5.74068382072897,us bases attacked
MB03,113,2050488552505725230,3,5.562586429461847,us bases attacked
MB03,178,2051111881486606670,4,5.562586429461847,us bases attacked
MB03,135,2050295481478119551,5,5.347407134838345,us bases attacked
MB03,1670,2042886172519661650,6,5.025286459820227,us bases attacked
MB03,168,2051331866418921490,7,5.012072004226946,us bases attacked
MB03,155,2051396733049966782,8,5.010939346705239,us bases attacked
MB03,136,2050956771485757701,9,4.902847456755589,us bases attacked
MB03,130,2051369426642170003,10,4.887275113018893,us bases attacked
MB03,100,2051304963779747857,11,4.870574709576905,us bases attacked
MB03,1204,2051304963779747857,12,4.870574709576905,us bases attacked
MB03,167,2048070114403340297,13,4.8694018246387065,us bases attacked
MB03,174,2048082921081180375,14,4.8694018246387065,us bases attacked
MB03,170,2050223651035738130,15,4.84236748387406,us bases attacked
MB03,164,2050975183087817069,16,4.841386644284765,us bases attacked
MB03,144,2051395006284349942,17,4.78608294863427,us bases attacked
MB03,192,2050222821788266955,18,4.7821832007931775,us bases attacked
MB03,197,2046118748588032173,19,4.7821832007931775,us bases attacked
MB03,132,2051246824783319340,20,4.7515271218334485,us bases attacked
MB03,156,2050831130824151357,21,4.7515271218334485,us bases attacked
MB03,112,2050788889493721242,22,4.723369220629262,us bases attacked
MB03,157,2050527306121126163,23,4.720437544950035,us bases attacked
MB03,188,2050907180375679471,24,4.657543755584449,us bases attacked
MB03,173,2050755188714303674,25,4.6259649426896985,us bases attacked
MB03,190,2051361948755795998,26,4.623511364299215,us bases attacked
MB03,1698,2027796864720871699,27,4.594413714375489,us bases attacked
MB03,126,2051396546844148125,28,4.478781936747209,us bases attacked
MB03,158,2048043136702611519,29,4.478781936747209,us bases attacked
MB04,55,2049510518202024286,0,10.371583646472438,supreme leader khamenei
MB04,6,2047307344107978789,1,10.362010608914666,supreme leader khamenei
MB04,20,2051053985054753183,2,9.974050927754265,supreme leader khamenei
MB04,94,2047434484606222762,3,9.939704543524343,supreme leader khamenei
MB04,8,2046873747320111197,4,9.357023658002369,supreme leader khamenei
MB04,5,2049725355083329803,5,9.327418955700118,supreme leader khamenei
MB04,65,2049968407442026887,6,9.27350355232733,supreme leader khamenei
MB04,14,2050061459787588004,7,8.605320854786306,supreme leader khamenei
MB04,60,2048160701819007330,8,8.486561695524085,supreme leader khamenei
MB04,1529,1912513816224755774,9,8.404899472324853,supreme leader khamenei
MB04,64,2048218621361758217,10,8.362063790529511,supreme leader khamenei
MB04,1910,2049772317438296546,11,8.362063790529511,supreme leader khamenei
MB04,84,2048194170871804070,12,8.343142442893601,supreme leader khamenei
MB04,24,2049213384176935277,13,8.318363441661447,supreme leader khamenei
MB04,59,2051021526040789474,14,8.298976878266817,supreme leader khamenei
MB04,61,2049858577351737583,15,8.274066185485111,supreme leader khamenei
MB04,98,2046279944976884162,16,8.25424819034166,supreme leader khamenei
MB04,32,2047279801413558640,17,8.229388014251521,supreme leader khamenei
MB04,26,2049825776623579242,18,8.184503600372757,supreme leader khamenei
MB04,1460,2050998827167936792,19,8.184503600372757,supreme leader khamenei
MB04,13,2050679458592387141,20,8.084693457919713,supreme leader khamenei
MB04,25,2047282969530835201,21,8.073385245868057,supreme leader khamenei
MB04,30,2050665278418071791,22,8.069323828520838,supreme leader khamenei
MB04,72,2050664582872506597,23,8.069323828520838,supreme leader khamenei
MB04,43,2051386047880171826,24,8.04989893685598,supreme leader khamenei
MB04,9,2048389907572519393,25,8.041408755613912,supreme leader khamenei
MB04,15,2048036607735799846,26,8.041408755613912,supreme leader khamenei
MB04,77,2047707919370903938,27,8.041408755613912,supreme leader khamenei
MB04,96,2049809739924541559,28,8.00536082159709,supreme leader khamenei
MB04,17,2049862984114074046,29,8.004681006795105,supreme leader khamenei
MB05,1068,2050987048639598800,0,7.05458728023927,iran nuclear deal
MB05,1792,1922908233968054407,1,6.7799625223718465,iran nuclear deal
MB05,274,2050605381185868057,2,6.7403728864906345,iran nuclear deal
MB05,223,2051141630023889384,3,6.693187550932606,iran nuclear deal
MB05,204,2051274679332258047,4,6.618577911802046,iran nuclear deal
MB05,206,2051121816488313284,5,6.594619517337803,iran nuclear deal
MB05,268,2050812069960949879,6,6.362546573842497,iran nuclear deal
MB05,201,2050262265316639089,7,6.355275988292613,iran nuclear deal
MB05,294,2049164472460140695,8,6.331718472007388,iran nuclear deal
MB05,1768,1922602067681513725,9,6.177496608472113,iran nuclear deal
MB05,240,2047438640880533873,10,6.142784356419689,iran nuclear deal
MB05,228,2050665560384438348,11,6.061654093417545,iran nuclear deal
MB05,233,2050819869696745664,12,5.9718377806221525,iran nuclear deal
MB05,266,2050996547136131134,13,5.965922231523624,iran nuclear deal
MB05,1012,2049935360130417032,14,5.947095642958555,iran nuclear deal
MB05,1736,1922646079327052177,15,5.930855353146724,iran nuclear deal
MB05,246,2048456689712828445,16,5.925524725656525,iran nuclear deal
MB05,1005,2048456689712828445,17,5.925524725656525,iran nuclear deal
MB05,232,2050986614453604549,18,5.897045818411544,iran nuclear deal
MB05,205,2049649902037172423,19,5.85163896744831,iran nuclear deal
MB05,214,2051355836979548636,20,5.8024998877592004,iran nuclear deal
MB05,227,2051342478360354922,21,5.8024998877592004,iran nuclear deal
MB05,210,2049918884329762865,22,5.781843985155547,iran nuclear deal
MB05,248,2051129277983383681,23,5.78107936367832,iran nuclear deal
MB05,285,2051035667937812822,24,5.78107936367832,iran nuclear deal
MB05,295,2049673869477503117,25,5.78107936367832,iran nuclear deal
MB05,253,2049127524308000885,26,5.726141848245112,iran nuclear deal
MB05,252,2050818458557034961,27,5.670594367084838,iran nuclear deal
MB05,1049,2051042661927141570,28,5.669761271483525,iran nuclear deal
MB05,277,2048022698618413425,29,5.6678469403643605,iran nuclear deal
MB06,753,2036403294784966768,0,8.73947008524332,middle east conflict escalation
MB06,731,2051349723324580025,1,8.676531419838074,middle east conflict escalation
MB06,751,2044860624304222674,2,8.657737770412076,middle east conflict escalation
MB06,794,2050499441585795095,3,8.610082669187573,middle east conflict escalation
MB06,748,2047513910417428776,4,8.535897090074442,middle east conflict escalation
MB06,750,2032413236193341682,5,8.411218441951977,middle east conflict escalation
MB06,742,2041567663562907773,6,8.406121631248741,middle east conflict escalation
MB06,2142,2041567663562907773,7,8.406121631248741,middle east conflict escalation
MB06,747,2039783630805811420,8,8.358818486196283,middle east conflict escalation
MB06,2169,2039783630805811420,9,8.358818486196283,middle east conflict escalation
MB06,780,2029246839652819015,10,8.334470639445534,middle east conflict escalation
MB06,741,2034647608497479713,11,8.205221261309624,middle east conflict escalation
MB06,760,1935434847415160937,12,8.205221261309624,middle east conflict escalation
