qid,docid,docno,rank,score,query
MB01,29,2043434628351136178,0,5.929341659834206,regime change iran
MB01,39,2042944762726990258,1,5.691826075736725,regime change iran
MB01,40,2044870335263043852,2,5.691826075736725,regime change iran
MB01,31,2042236709794885722,3,5.304068195598093,regime change iran
MB01,77,2042501468943442055,4,5.095689857290639,regime change iran
MB01,74,2043326328166899969,5,4.775053125880506,regime change iran
MB01,6,2041881768975081899,6,4.742831523827582,regime change iran
MB01,95,2041174157480566916,7,4.673202436732959,regime change iran
MB01,27,2045172271749210152,8,4.546114270413416,regime change iran
MB01,23,2041644201801035894,9,4.509874972026903,regime change iran
MB01,53,2041841357233213612,10,4.312872594011691,regime change iran
MB01,79,2041843235916566709,11,4.307420520654861,regime change iran
MB01,76,2041596252073193687,12,4.1960203891682095,regime change iran
MB01,68,2041490526667522058,13,4.153513180080163,regime change iran
MB01,43,2041963699171192972,14,4.107536872577116,regime change iran
MB01,10,2044034612922331456,15,4.101712949142765,regime change iran
MB01,0,2044806410421014539,16,4.049789287171123,regime change iran
MB01,88,2044075700555071601,17,4.049789287171123,regime change iran
MB01,15,2044034311410553014,18,3.92118258796401,regime change iran
MB01,28,2041753026185085075,19,3.9182399960833703,regime change iran
MB01,18,2042499145701749151,20,3.914825864780463,regime change iran
MB01,87,2044039731290272154,21,3.8386088535834806,regime change iran
MB01,92,2044144543658860907,22,3.7990028580960886,regime change iran
MB01,52,2043678138341998899,23,3.727345916417935,regime change iran
MB01,8,2042245788697284676,24,3.7103169828188123,regime change iran
MB01,2,2042319239080550588,25,3.6902311729195634,regime change iran
MB01,61,2044145265284661363,26,3.6902311729195634,regime change iran
MB01,67,2041263820396495283,27,3.6902311729195634,regime change iran
MB01,70,2044130719505465402,28,3.6902311729195634,regime change iran
MB01,85,2045038553130844215,29,3.6902311729195634,regime change iran
MB02,161,2043634442695221426,0,7.188945854836822,closing hormuz strait
MB02,186,2043715936453001369,1,7.188945854836822,closing hormuz strait
MB02,194,2043460973294694612,2,6.892612623915239,closing hormuz strait
MB02,120,2043418350387110082,3,6.726849113512,closing hormuz strait
MB02,103,2045150989913612612,4,6.244176076231304,closing hormuz strait
MB02,188,2043407376716345652,5,6.179235204322563,closing hormuz strait
MB02,177,2043338106288365972,6,5.8665621197155335,closing hormuz strait
MB02,190,2043439984212885807,7,5.564767958778671,closing hormuz strait
MB02,189,2043324138291445905,8,5.479996030115729,closing hormuz strait
MB02,145,2044037498343465128,9,5.3040610999019195,closing hormuz strait
MB02,152,2041434614648951268,10,5.0161765336162505,closing hormuz strait
MB02,197,2043343387575701834,11,4.9236169218848875,closing hormuz strait
MB02,118,2042655965615456529,12,4.870308511688787,closing hormuz strait
MB02,157,2043766341778235579,13,4.870308511688787,closing hormuz strait
MB02,169,2044103405686210864,14,4.870308511688787,closing hormuz strait
MB02,183,2041950790550769731,15,4.870308511688787,closing hormuz strait
MB02,137,2044103866233356363,16,4.686098489053466,closing hormuz strait
MB02,156,2043663079498490067,17,4.686098489053466,closing hormuz strait
MB02,181,2041937773414752628,18,4.686098489053466,closing hormuz strait
MB02,121,2041949040837837252,19,4.68473196899121,closing hormuz strait
MB02,126,2043363518292930693,20,4.518695493725046,closing hormuz strait
MB02,131,2041931872956014955,21,4.518695493725046,closing hormuz strait
MB02,150,2043448165970395335,22,4.518695493725046,closing hormuz strait
MB02,168,2041584356498555056,23,4.518695493725046,closing hormuz strait
MB02,193,2041898599429156997,24,4.518695493725046,closing hormuz strait
MB02,195,2040981683747324047,25,4.518695493725046,closing hormuz strait
MB02,107,2044771965043400891,26,4.434713525479238,closing hormuz strait
MB02,139,2043927312765464994,27,4.365487776367384,closing hormuz strait
MB02,134,2041576790263579061,28,4.293756857852014,closing hormuz strait
MB02,179,2041130825069301994,29,4.272900286041317,closing hormuz strait
MB03,230,2040755876144017464,0,5.326427629860243,us bases attacked
MB03,260,2045112504867754154,1,5.144061688740724,us bases attacked
MB03,280,2039018369110647293,2,4.296950895324004,us bases attacked
MB03,203,2039179006243926202,3,4.241452667663003,us bases attacked
MB03,274,2040936761132552392,4,4.241452667663003,us bases attacked
MB03,242,2043227373517324559,5,4.07352080207579,us bases attacked
MB03,205,2039668667571437732,6,4.067317269096723,us bases attacked
MB03,219,2041136243082252670,7,4.053154431753018,us bases attacked
MB03,250,2043515062267027870,8,4.053154431753018,us bases attacked
MB03,270,2041500399077929171,9,4.0523643405978405,us bases attacked
MB03,285,2043619210950050077,10,3.9774674711477545,us bases attacked
MB03,276,2043268261878583582,11,3.958694464253015,us bases attacked
MB03,279,2041473438485729762,12,3.9378503677716514,us bases attacked
MB03,216,2041497394941186106,13,3.8682704120655242,us bases attacked
MB03,288,2042960648993227137,14,3.794029454677841,us bases attacked
MB03,262,2041681711222649284,15,3.7306537312956563,us bases attacked
MB03,245,2040754946946285878,16,3.6803802816011792,us bases attacked
MB03,247,2041551703384735776,17,3.632222014462129,us bases attacked
MB03,290,2040030079653200036,18,3.632222014462129,us bases attacked
MB03,210,2043473123924717596,19,3.545452926521531,us bases attacked
MB03,228,2043473194577801435,20,3.545452926521531,us bases attacked
MB03,268,2041855968988778613,21,3.488173430484359,us bases attacked
MB03,261,2042726240302567447,22,3.4875789226183542,us bases attacked
MB03,225,2040921742693048626,23,3.462517882310599,us bases attacked
MB03,235,2041067504345165849,24,3.462517882310599,us bases attacked
MB03,258,2040873689349304648,25,3.356926589832784,us bases attacked
MB03,277,2040350901848953257,26,3.355481683842611,us bases attacked
MB03,236,2041004698598084709,27,3.344207093877692,us bases attacked
MB03,200,2041127558146621848,28,3.1996990525176088,us bases attacked
MB03,286,2039377679028551842,29,3.170985192862119,us bases attacked
MB04,398,2042320390253645921,0,6.159720251363627,supreme leader khamenei
MB04,373,2044332687696007646,1,6.030511225563117,supreme leader khamenei
MB04,327,2042289031115846002,2,5.689625037723632,supreme leader khamenei
MB04,377,2042939580156903434,3,5.689625037723632,supreme leader khamenei
MB04,320,2042284703227490315,4,5.613447429070886,supreme leader khamenei
MB04,361,2041226127361155509,5,5.613447429070886,supreme leader khamenei
MB04,360,2042218734098448535,6,5.2163149593828715,supreme leader khamenei
MB04,371,2041194140697043388,7,5.171308656917457,supreme leader khamenei
MB04,308,2044758042617544879,8,5.042163625971575,supreme leader khamenei
MB04,317,2042305244147687609,9,5.042163625971575,supreme leader khamenei
MB04,339,2041684285652914471,10,5.042163625971575,supreme leader khamenei
MB04,353,2042299737706045473,11,5.042163625971575,supreme leader khamenei
MB04,359,2041871039240573006,12,5.042163625971575,supreme leader khamenei
MB04,369,2044766808582861283,13,5.042163625971575,supreme leader khamenei
MB04,370,2042343832587530364,14,5.042163625971575,supreme leader khamenei
MB04,378,2041193593616887980,15,5.042163625971575,supreme leader khamenei
MB04,380,2041610793335107996,16,5.042163625971575,supreme leader khamenei
MB04,386,2042133298214752259,17,5.042163625971575,supreme leader khamenei
MB04,391,2042308016532496740,18,4.882253866465248,supreme leader khamenei
MB04,342,2040739737359561124,19,4.881205569713077,supreme leader khamenei
MB04,343,2041666642682507426,20,4.881205569713077,supreme leader khamenei
MB04,362,2042302497323192771,21,4.881205569713077,supreme leader khamenei
MB04,389,2041687803843486000,22,4.793549247369508,supreme leader khamenei
MB04,309,2042863157425705399,23,4.731710621198907,supreme leader khamenei
MB04,328,2043302418360741979,24,4.731710621198907,supreme leader khamenei
MB04,368,2042296914566148286,25,4.731710621198907,supreme leader khamenei
MB04,315,2041681484268904940,26,4.592270528466978,supreme leader khamenei
MB04,330,2041686352152908064,27,4.592270528466978,supreme leader khamenei
MB04,352,2042420356581900764,28,4.592270528466978,supreme leader khamenei
MB04,381,2043327399140470967,29,4.592270528466978,supreme leader khamenei
MB05,420,2042011945172078737,0,4.570082421313288,iran nuclear deal
MB05,425,2043734546093363216,1,4.493090155778756,iran nuclear deal
MB05,417,2044839888529281482,2,4.4845298574974155,iran nuclear deal
MB05,405,2043740757551431682,3,4.407578629629591,iran nuclear deal
MB05,459,2042655609758052624,4,4.3902916114594195,iran nuclear deal
MB05,468,2043740177940787432,5,4.249356731753044,iran nuclear deal
MB05,442,2044838803412545953,6,4.164056377775518,iran nuclear deal
MB05,415,2044664590861000822,7,4.133902147250893,iran nuclear deal
MB05,476,2042290941894021357,8,4.133902147250893,iran nuclear deal
MB05,404,2044846387649540263,9,4.081804877010125,iran nuclear deal
MB05,477,2043686901496877456,10,4.0302680033345375,iran nuclear deal
MB05,469,2044953628277104991,11,4.021309463739332,iran nuclear deal
MB05,454,2045221035935412718,12,4.01800873176173,iran nuclear deal
MB05,445,2044839563391074695,13,3.9935355892559574,iran nuclear deal
MB05,478,2044844680240881851,14,3.9935355892559574,iran nuclear deal
MB05,408,2042716172794183839,15,3.9895003961858233,iran nuclear deal
MB05,421,2044023564207018045,16,3.9168656117858003,iran nuclear deal
MB05,446,2045014623611490711,17,3.8720188809380494,iran nuclear deal
MB05,487,2044204573410386375,18,3.859678089598069,iran nuclear deal
MB05,490,2041663539530617263,19,3.839466258474276,iran nuclear deal
MB05,491,2042425256670085567,20,3.8220663044667536,iran nuclear deal
MB05,427,2042370258434998753,21,3.819949305099942,iran nuclear deal
MB05,481,2041179340549861579,22,3.7452444824898556,iran nuclear deal
MB05,455,2043749210231816633,23,3.6916574343352737,iran nuclear deal
MB05,465,2045057147537330645,24,3.672502999640299,iran nuclear deal
MB05,479,2044405045609808088,25,3.62658492361625,iran nuclear deal
MB05,482,2042743058836410544,26,3.62658492361625,iran nuclear deal
MB05,407,2043342446034055330,27,3.536566740483127,iran nuclear deal
MB05,412,2044594602716336601,28,3.536566740483127,iran nuclear deal
MB05,447,2043790077357093067,29,3.5063785532511433,iran nuclear deal
MB06,526,2044868780589789302,0,8.947548155535582,middle east conflict escalation
MB06,540,2044860624304222674,1,8.947548155535582,middle east conflict escalation
MB06,562,2042518019050512817,2,8.48727422279162,middle east conflict escalation
MB06,552,2039052436590178691,3,7.678651092823623,middle east conflict escalation
MB06,556,2038525385881591891,4,7.215310833022164,middle east conflict escalation
MB06,593,2041494353043247416,5,7.193132931099411,middle east conflict escalation
MB06,513,2036863008480084172,6,7.193017919467683,middle east conflict escalation
MB06,539,2039945857597161966,7,7.193017919467683,middle east conflict escalation
MB06,566,2039273931090321685,8,7.141181353441337,middle east conflict escalation
MB06,577,2037524532546658427,9,7.019440514286986,middle east conflict escalation
MB06,579,2038396843005202634,10,6.975669481560157,middle east conflict escalation
MB06,574,2039744572168049041,11,6.9019821513361626,middle east conflict escalation
MB06,563,2044197245440962959,12,6.772542114885069,middle east conflict escalation
MB06,523,2043957521027871134,13,6.762160448799377,middle east conflict escalation
MB06,505,2044412664944943612,14,6.58201702157793,middle east conflict escalation
MB06,508,2039510118811996333,15,6.58201702157793,middle east conflict escalation
MB06,520,2034647608497479713,16,6.233557324953025,middle east conflict escalation
MB06,525,2037039573503774940,17,6.233557324953025,middle east conflict escalation
MB06,507,2041567663562907773,18,6.014944611047531,middle east conflict escalation
MB06,573,2043964306069565530,19,5.960984247818247,middle east conflict escalation
MB06,527,2039783630805811420,20,5.944580663308865,middle east conflict escalation
MB06,538,2039040123078050031,21,5.9216968385186455,middle east conflict escalation
MB06,500,2044785385075855460,22,5.777434919899058,middle east conflict escalation
MB06,521,2043558793586651358,23,5.777434919899058,middle east conflict escalation
MB06,599,2039705208620515468,24,5.777434919899058,middle east conflict escalation
MB06,575,2038350103233417556,25,5.775648533210071,middle east conflict escalation
MB06,582,2039398231755383207,26,5.640063287662868,middle east conflict escalation
MB06,581,2038945911682851136,27,5.509015812708713,middle east conflict escalation
MB06,590,2041891196746752184,28,5.509015812708713,middle east conflict escalation
MB06,598,2036052314096796109,29,5.509015812708713,middle east conflict escalation
