qid,docid,docno,rank,score,query
MB01,29,2043434628351136178,0,5.567783225808062,regime change iran
MB01,39,2042944762726990258,1,5.543200848709283,regime change iran
MB01,40,2044870335263043852,2,5.543200848709283,regime change iran
MB01,77,2042501468943442055,3,5.2332198221825035,regime change iran
MB01,31,2042236709794885722,4,5.226305717192132,regime change iran
MB01,6,2041881768975081899,5,5.062606516874786,regime change iran
MB01,74,2043326328166899969,6,4.99918569800279,regime change iran
MB01,95,2041174157480566916,7,4.97559968077301,regime change iran
MB01,27,2045172271749210152,8,4.962834120004735,regime change iran
MB01,53,2041841357233213612,9,4.78746887475485,regime change iran
MB01,23,2041644201801035894,10,4.785691393494152,regime change iran
MB01,76,2041596252073193687,11,4.7159565187590236,regime change iran
MB01,79,2041843235916566709,12,4.696967087713388,regime change iran
MB01,10,2044034612922331456,13,4.626226543493014,regime change iran
MB01,0,2044806410421014539,14,4.601504930031983,regime change iran
MB01,88,2044075700555071601,15,4.601504930031983,regime change iran
MB01,43,2041963699171192972,16,4.528575652329714,regime change iran
MB01,28,2041753026185085075,17,4.492476968406698,regime change iran
MB01,15,2044034311410553014,18,4.483154220509493,regime change iran
MB01,68,2041490526667522058,19,4.468489667887593,regime change iran
MB01,18,2042499145701749151,20,4.450170805642628,regime change iran
MB01,87,2044039731290272154,21,4.415002617661035,regime change iran
MB01,92,2044144543658860907,22,4.388496035085668,regime change iran
MB01,2,2042319239080550588,23,4.289219608898381,regime change iran
MB01,61,2044145265284661363,24,4.289219608898381,regime change iran
MB01,67,2041263820396495283,25,4.289219608898381,regime change iran
MB01,70,2044130719505465402,26,4.289219608898381,regime change iran
MB01,85,2045038553130844215,27,4.289219608898381,regime change iran
MB01,54,2042601680382914832,28,4.194335477053807,regime change iran
MB01,75,2041875725637317054,29,4.194335477053807,regime change iran
MB02,161,2043634442695221426,0,6.547176516966648,closing hormuz strait
MB02,186,2043715936453001369,1,6.547176516966648,closing hormuz strait
MB02,194,2043460973294694612,2,6.421639408625599,closing hormuz strait
MB02,120,2043418350387110082,3,6.2411833135971015,closing hormuz strait
MB02,103,2045150989913612612,4,6.173595548187487,closing hormuz strait
MB02,188,2043407376716345652,5,6.073767623622602,closing hormuz strait
MB02,177,2043338106288365972,6,5.900671002020186,closing hormuz strait
MB02,190,2043439984212885807,7,5.742071341428122,closing hormuz strait
MB02,189,2043324138291445905,8,5.667052576277525,closing hormuz strait
MB02,145,2044037498343465128,9,5.59177428150882,closing hormuz strait
MB02,152,2041434614648951268,10,5.3941849918918106,closing hormuz strait
MB02,197,2043343387575701834,11,5.3269329706411455,closing hormuz strait
