qid,docid,docno,rank,score,query
MB01,374,2047269506855182701,0,10.901068489326262,regim chang iran
MB01,337,2050252725258948738,1,10.197171174491931,regim chang iran
MB01,1781,2050735956500619400,2,10.186663078259787,regim chang iran
MB01,375,2048677465795473468,3,10.14621732325115,regim chang iran
MB01,351,2051346751345578094,4,9.859256338859511,regim chang iran
MB01,399,2049179596667474130,5,9.586460642291932,regim chang iran
MB01,329,2051362450373488768,6,9.47062608384528,regim chang iran
MB01,300,2050920561681879167,7,9.456887547011988,regim chang iran
MB01,262,2051147251691802962,8,9.426718749533102,regim chang iran
MB01,326,2048613789340188783,9,9.328362224312237,regim chang iran
MB01,340,2050912069730673025,10,9.125813123606964,regim chang iran
MB01,396,2051314141345018260,11,9.060456368309147,regim chang iran
MB01,346,2051073687067951141,12,9.020322232379884,regim chang iran
MB01,334,2047415145907777824,13,8.816813677476107,regim chang iran
MB01,348,2047409326067732832,14,8.816813677476107,regim chang iran
MB01,392,2051060841819078885,15,8.816813677476107,regim chang iran
MB01,313,2050757718563316120,16,8.808956826169037,regim chang iran
MB01,355,2050941336271085614,17,8.808956826169037,regim chang iran
MB01,349,2047410594555580916,18,8.622285281223135,regim chang iran
MB01,319,2050919552532533380,19,8.257891857861141,regim chang iran
MB01,338,2051401022539456982,20,8.257891857861141,regim chang iran
MB01,330,2051225754642637228,21,8.087006081374556,regim chang iran
MB01,318,2049114612310675484,22,8.070630949780599,regim chang iran
MB01,361,2047410197107298812,23,7.965410196221317,regim chang iran
MB01,394,2051399311767097365,24,7.945463399678593,regim chang iran
MB01,380,2047314680876564501,25,7.846795583901046,regim chang iran
MB01,385,2051050064202928199,26,7.846795583901046,regim chang iran
MB01,628,2051401115980157346,27,7.804396409940033,regim chang iran
MB01,333,2050929718208462933,28,7.7656087783297965,regim chang iran
MB01,388,2051308726540194044,29,7.7656087783297965,regim chang iran
MB02,429,2051312817299747055,0,12.385821771566901,close hormuz strait
MB02,440,2049099228379558024,1,12.07085361540318,close hormuz strait
MB02,443,2051287405844627525,2,12.07085361540318,close hormuz strait
MB02,471,2051285868267069946,3,12.07085361540318,close hormuz strait
MB02,433,2051332120493122003,4,11.486648764320364,close hormuz strait
MB02,468,2051306050524000632,5,11.486648764320364,close hormuz strait
MB02,482,2051343135054442761,6,11.486648764320364,close hormuz strait
MB02,494,2050695132719051001,7,11.486648764320364,close hormuz strait
MB02,499,2051286873792753671,8,11.486648764320364,close hormuz strait
MB02,466,2051281415195525542,9,11.223751590375697,close hormuz strait
MB02,476,2051377401771225142,10,11.215251053749533,close hormuz strait
MB02,477,2051334784773763247,11,11.215251053749533,close hormuz strait
MB02,487,2051294906824454476,12,11.215251053749533,close hormuz strait
MB02,407,2051338552110403980,13,10.956382077005424,close hormuz strait
MB02,488,2050950921568522515,14,10.956382077005424,close hormuz strait
MB02,478,2046561586874298459,15,10.919769142038865,close hormuz strait
MB02,486,2050541960125935683,16,10.70919384735869,close hormuz strait
MB02,439,2046953645061906568,17,10.472913215772834,close hormuz strait
MB02,475,2051339627215102056,18,10.375131901987594,close hormuz strait
MB02,470,2046691205019255002,19,10.297925609696051,close hormuz strait
MB02,451,2051315864662671740,20,10.274357133135751,close hormuz strait
MB02,438,2049518671828000773,21,10.246833793274812,close hormuz strait
MB02,442,2046495825728016449,22,10.246833793274812,close hormuz strait
MB02,489,2051345158810001714,23,10.246833793274812,close hormuz strait
MB02,497,2046569003561398337,24,10.246833793274812,close hormuz strait
MB02,421,2050923077228261591,25,10.03030889745142,close hormuz strait
MB02,481,2051010148982817157,26,10.03030889745142,close hormuz strait
MB02,1118,2051409793701548504,27,10.03030889745142,close hormuz strait
MB02,1339,2049248050137461040,28,10.03030889745142,close hormuz strait
MB02,496,2051383557919027639,29,9.822745374721391,close hormuz strait
MB03,134,2045112504867754154,0,10.481083298481963,us base attack
MB03,176,2050488064481571116,1,9.108536418786432,us base attack
MB03,178,2051111881486606670,2,9.099615237210184,us base attack
MB03,1686,2042891517090738583,3,9.070821619452591,us base attack
