qid,docid,docno,rank,score,query
MB01,29,2043434628351136178,0,5.633459043248944,regim chang iran
MB01,31,2042236709794885722,1,5.544652813524003,regim chang iran
MB01,77,2042501468943442055,2,5.416588251887765,regim chang iran
MB01,6,2041881768975081899,3,5.324969254044914,regim chang iran
MB01,53,2041841357233213612,4,5.299277576666428,regim chang iran
MB01,74,2043326328166899969,5,5.244780767199158,regim chang iran
MB01,10,2044034612922331456,6,5.102582683146378,regim chang iran
MB01,95,2041174157480566916,7,5.026338725429921,regim chang iran
MB01,23,2041644201801035894,8,5.025612876580562,regim chang iran
MB01,87,2044039731290272154,9,4.918745863782998,regim chang iran
MB01,18,2042499145701749151,10,4.891230360259983,regim chang iran
MB01,15,2044034311410553014,11,4.855485075221197,regim chang iran
MB01,27,2045172271749210152,12,4.772338965873707,regim chang iran
MB01,68,2041490526667522058,13,4.73931937773433,regim chang iran
MB01,76,2041596252073193687,14,4.737115348289812,regim chang iran
MB01,43,2041963699171192972,15,4.7293096621176325,regim chang iran
MB01,79,2041843235916566709,16,4.7293096621176325,regim chang iran
MB01,88,2044075700555071601,17,4.682487206842829,regim chang iran
MB01,33,2041917157068447897,18,4.682025113999938,regim chang iran
MB01,56,2044168308577185996,19,4.665112477411904,regim chang iran
MB01,7,2044016360137588882,20,4.624880791031111,regim chang iran
MB01,0,2044806410421014539,21,4.616089086905866,regim chang iran
MB01,28,2041753026185085075,22,4.616089086905866,regim chang iran
MB01,92,2044144543658860907,23,4.542668509353222,regim chang iran
MB01,22,2042970559621853690,24,4.5045885021532435,regim chang iran
MB01,2,2042319239080550588,25,4.4652571248124175,regim chang iran
MB01,61,2044145265284661363,26,4.4652571248124175,regim chang iran
MB01,70,2044130719505465402,27,4.385829436240915,regim chang iran
MB01,85,2045038553130844215,28,4.385829436240915,regim chang iran
MB01,14,2041670639962976538,29,4.3566886217496466,regim chang iran
MB02,120,2043418350387110082,0,6.761257532058902,close hormuz strait
MB02,103,2045150989913612612,1,6.645930294016449,close hormuz strait
MB02,152,2041434614648951268,2,6.32934886473128,close hormuz strait
MB02,197,2043343387575701834,3,6.172709205826639,close hormuz strait
MB02,189,2043324138291445905,4,6.086648543648705,close hormuz strait
MB02,188,2043407376716345652,5,6.025418804248692,close hormuz strait
MB02,121,2041949040837837252,6,5.781905233857054,close hormuz strait
MB02,107,2044771965043400891,7,5.654976198654831,close hormuz strait
MB02,194,2043460973294694612,8,5.50828763668552,close hormuz strait
MB02,173,2044397673944408078,9,5.4858203645137085,close hormuz strait
MB02,145,2044037498343465128,10,5.396646581069203,close hormuz strait
MB02,169,2044103405686210864,11,5.381399548803984,close hormuz strait
MB02,183,2041950790550769731,12,5.381399548803984,close hormuz strait
MB02,179,2041130825069301994,13,5.354995040450975,close hormuz strait
MB02,118,2042655965615456529,14,5.342979181776186,close hormuz strait
MB02,137,2044103866233356363,15,5.342979181776186,close hormuz strait
MB02,156,2043663079498490067,16,5.342979181776186,close hormuz strait
MB02,157,2043766341778235579,17,5.342979181776186,close hormuz strait
MB02,181,2041937773414752628,18,5.342979181776186,close hormuz strait
MB02,134,2041576790263579061,19,5.320452543802255,close hormuz strait
MB02,146,2040487565157904395,20,5.318383085082451,close hormuz strait
MB02,190,2043439984212885807,21,5.2905871539883105,close hormuz strait
MB02,131,2041931872956014955,22,5.289991724323841,close hormuz strait
MB02,168,2041584356498555056,23,5.289991724323841,close hormuz strait
MB02,193,2041898599429156997,24,5.289991724323841,close hormuz strait
MB02,195,2040981683747324047,25,5.289991724323841,close hormuz strait
MB02,32,2042136199440019468,26,5.263445895711632,close hormuz strait
MB02,192,2043692875964092495,27,5.235311513419341,close hormuz strait
MB02,128,2041331812190798308,28,5.227849656189093,close hormuz strait
MB02,139,2043927312765464994,29,5.227849656189093,close hormuz strait
MB03,230,2040755876144017464,0,5.01368248430454,us base attack
MB03,260,2045112504867754154,1,4.964714302514507,us base attack
MB03,270,2041500399077929171,2,4.7367619964712055,us base attack
MB03,242,2043227373517324559,3,4.7112832031561425,us base attack
MB03,276,2043268261878583582,4,4.69565277417438,us base attack
MB03,203,2039179006243926202,5,4.6484295321095095,us base attack
MB03,274,2040936761132552392,6,4.639223865172061,us base attack
MB03,250,2043515062267027870,7,4.62413815674591,us base attack
MB03,205,2039668667571437732,8,4.61941494955828,us base attack
MB03,219,2041136243082252670,9,4.604446426819073,us base attack
MB03,262,2041681711222649284,10,4.526630736310485,us base attack
MB03,225,2040921742693048626,11,4.365660222354702,us base attack
MB03,235,2041067504345165849,12,4.365660222354702,us base attack
MB03,236,2041004698598084709,13,4.297107431301459,us base attack
MB03,279,2041473438485729762,14,4.18398744597337,us base attack
MB03,216,2041497394941186106,15,4.1260490791536775,us base attack
MB03,210,2043473123924717596,16,4.1113648600432375,us base attack
MB03,228,2043473194577801435,17,4.1113648600432375,us base attack
MB03,245,2040754946946285878,18,4.107634152972741,us base attack
MB03,268,2041855968988778613,19,4.057710094350319,us base attack
MB03,280,2039018369110647293,20,4.033839419094258,us base attack
MB03,277,2040350901848953257,21,3.9948641507555127,us base attack
MB03,286,2039377679028551842,22,3.933857089072766,us base attack
MB03,200,2041127558146621848,23,3.9108760908953775,us base attack
MB03,208,2041129259033415983,24,3.837648110332754,us base attack
MB03,213,2040313860599562300,25,3.8005540733489456,us base attack
MB03,256,2041980178050482559,26,3.763377444982031,us base attack
MB03,247,2041551703384735776,27,3.7607596428493104,us base attack
MB03,261,2042726240302567447,28,3.7607596428493104,us base attack
MB03,285,2043619210950050077,29,3.7607596428493104,us base attack
MB04,398,2042320390253645921,0,7.242915988476565,suprem leader khamenei
MB04,373,2044332687696007646,1,6.253001991655498,suprem leader khamenei
MB04,371,2041194140697043388,2,6.228394100421943,suprem leader khamenei
MB04,327,2042289031115846002,3,6.205781741469741,suprem leader khamenei
MB04,377,2042939580156903434,4,6.205781741469741,suprem leader khamenei
MB04,391,2042308016532496740,5,6.176228328280214,suprem leader khamenei
MB04,389,2041687803843486000,6,6.072194528120185,suprem leader khamenei
MB04,375,2041979048478273699,7,6.020536177921891,suprem leader khamenei
MB04,320,2042284703227490315,8,5.907968271567303,suprem leader khamenei
MB04,361,2041226127361155509,9,5.907968271567303,suprem leader khamenei
MB04,308,2044758042617544879,10,5.787843151393444,suprem leader khamenei
MB04,317,2042305244147687609,11,5.787843151393444,suprem leader khamenei
MB04,339,2041684285652914471,12,5.787843151393444,suprem leader khamenei
MB04,353,2042299737706045473,13,5.787843151393444,suprem leader khamenei
MB04,359,2041871039240573006,14,5.787843151393444,suprem leader khamenei
MB04,360,2042218734098448535,15,5.787843151393444,suprem leader khamenei
MB04,369,2044766808582861283,16,5.787843151393444,suprem leader khamenei
MB04,370,2042343832587530364,17,5.787843151393444,suprem leader khamenei
MB04,378,2041193593616887980,18,5.787843151393444,suprem leader khamenei
MB04,380,2041610793335107996,19,5.787843151393444,suprem leader khamenei
MB04,342,2040739737359561124,20,5.727907688524387,suprem leader khamenei
MB04,362,2042302497323192771,21,5.727907688524387,suprem leader khamenei
MB04,386,2042133298214752259,22,5.727907688524387,suprem leader khamenei
MB04,385,2041409902262776010,23,5.684919845302259,suprem leader khamenei
MB04,343,2041666642682507426,24,5.663556291051629,suprem leader khamenei
