qid,docid,docno,rank,score,query
MB01,29,2043434628351136178,0,5.916505828634515,regim chang iran
MB01,39,2042944762726990258,1,5.748936211737532,regim chang iran
MB01,40,2044870335263043852,2,5.748936211737532,regim chang iran
MB01,31,2042236709794885722,3,5.30391201334837,regim chang iran
MB01,77,2042501468943442055,4,5.0548718536297805,regim chang iran
MB01,95,2041174157480566916,5,4.886295670585809,regim chang iran
MB01,6,2041881768975081899,6,4.690556234144552,regim chang iran
MB01,74,2043326328166899969,7,4.665500901122314,regim chang iran
MB01,27,2045172271749210152,8,4.421888800093107,regim chang iran
MB01,23,2041644201801035894,9,4.356252013064799,regim chang iran
MB01,76,2041596252073193687,10,4.257761189731081,regim chang iran
MB01,53,2041841357233213612,11,4.247943310706733,regim chang iran
MB01,10,2044034612922331456,12,4.178521625938432,regim chang iran
MB01,88,2044075700555071601,13,4.111280215890459,regim chang iran
MB01,43,2041963699171192972,14,4.083380806348329,regim chang iran
MB01,79,2041843235916566709,15,4.083380806348329,regim chang iran
MB01,68,2041490526667522058,16,4.045683418544522,regim chang iran
MB01,0,2044806410421014539,17,3.9793670703206114,regim chang iran
MB01,28,2041753026185085075,18,3.9793670703206114,regim chang iran
MB01,87,2044039731290272154,19,3.913663932308866,regim chang iran
MB01,18,2042499145701749151,20,3.911215058861116,regim chang iran
MB01,92,2044144543658860907,21,3.859681679334705,regim chang iran
MB01,15,2044034311410553014,22,3.8349773251267374,regim chang iran
MB01,2,2042319239080550588,23,3.7504000584492294,regim chang iran
MB01,61,2044145265284661363,24,3.7504000584492294,regim chang iran
MB01,52,2043678138341998899,25,3.663869398018462,regim chang iran
MB01,70,2044130719505465402,26,3.650070781350786,regim chang iran
MB01,85,2045038553130844215,27,3.650070781350786,regim chang iran
MB01,1,2044664916099948797,28,3.6439031053544353,regim chang iran
MB01,8,2042245788697284676,29,3.6439031053544353,regim chang iran
MB02,161,2043634442695221426,0,7.272732835990463,close hormuz strait
MB02,186,2043715936453001369,1,7.272732835990463,close hormuz strait
MB02,194,2043460973294694612,2,6.978705977890016,close hormuz strait
MB02,120,2043418350387110082,3,6.844486917140401,close hormuz strait
MB02,188,2043407376716345652,4,6.269814670056879,close hormuz strait
MB02,103,2045150989913612612,5,6.188495862591163,close hormuz strait
MB02,177,2043338106288365972,6,5.938812744362029,close hormuz strait
