qid,docid,docno,rank,score,query
MB01,39,2042944762726990258,0,5.5643790341947295,regim chang iran
MB01,40,2044870335263043852,1,5.5643790341947295,regim chang iran
MB01,29,2043434628351136178,2,5.560017624197266,regim chang iran
MB01,31,2042236709794885722,3,5.226194966165091,regim chang iran
MB01,77,2042501468943442055,4,5.20483318424008,regim chang iran
MB01,95,2041174157480566916,5,5.121394286006937,regim chang iran
MB01,6,2041881768975081899,6,5.028476185363118,regim chang iran
MB01,74,2043326328166899969,7,4.9132428755671,regim chang iran
MB01,27,2045172271749210152,8,4.879454329734926,regim chang iran
MB01,76,2041596252073193687,9,4.762217162301919,regim chang iran
MB01,53,2041841357233213612,10,4.735353643302096,regim chang iran
MB01,10,2044034612922331456,11,4.6847165141160465,regim chang iran
MB01,23,2041644201801035894,12,4.65331513266695,regim chang iran
MB01,88,2044075700555071601,13,4.650481456560314,regim chang iran
MB01,0,2044806410421014539,14,4.54386884834369,regim chang iran
MB01,28,2041753026185085075,15,4.54386884834369,regim chang iran
MB01,43,2041963699171192972,16,4.507418269939961,regim chang iran
MB01,79,2041843235916566709,17,4.507418269939961,regim chang iran
MB01,87,2044039731290272154,18,4.477020554387076,regim chang iran
MB01,18,2042499145701749151,19,4.447138435239374,regim chang iran
MB01,92,2044144543658860907,20,4.4420348919998185,regim chang iran
MB01,15,2044034311410553014,21,4.411965201350535,regim chang iran
MB01,68,2041490526667522058,22,4.365393709143499,regim chang iran
MB01,2,2042319239080550588,23,4.344665342915999,regim chang iran
MB01,61,2044145265284661363,24,4.344665342915999,regim chang iran
MB01,70,2044130719505465402,25,4.251472918480064,regim chang iran
MB01,85,2045038553130844215,26,4.251472918480064,regim chang iran
MB01,56,2044168308577185996,27,4.228021869638413,regim chang iran
MB01,22,2042970559621853690,28,4.168276182591346,regim chang iran
MB01,54,2042601680382914832,29,4.1621944671489635,regim chang iran
MB02,161,2043634442695221426,0,6.580722381054306,close hormuz strait
MB02,186,2043715936453001369,1,6.580722381054306,close hormuz strait
MB02,194,2043460973294694612,2,6.459230373746226,close hormuz strait
MB02,120,2043418350387110082,3,6.30212238105881,close hormuz strait
MB02,103,2045150989913612612,4,6.142613119715801,close hormuz strait
MB02,188,2043407376716345652,5,6.121613096752053,close hormuz strait
MB02,177,2043338106288365972,6,5.93624671783512,close hormuz strait
MB02,190,2043439984212885807,7,5.782539058874153,close hormuz strait
MB02,189,2043324138291445905,8,5.634239577598079,close hormuz strait
MB02,145,2044037498343465128,9,5.4978277671675615,close hormuz strait
MB02,152,2041434614648951268,10,5.466055618031522,close hormuz strait
MB02,169,2044103405686210864,11,5.3657331289352825,close hormuz strait
MB02,183,2041950790550769731,12,5.3657331289352825,close hormuz strait
MB02,197,2043343387575701834,13,5.272482329121017,close hormuz strait
MB02,118,2042655965615456529,14,5.239837152849033,close hormuz strait
MB02,137,2044103866233356363,15,5.239837152849033,close hormuz strait
MB02,156,2043663079498490067,16,5.239837152849033,close hormuz strait
MB02,157,2043766341778235579,17,5.239837152849033,close hormuz strait
MB02,181,2041937773414752628,18,5.239837152849033,close hormuz strait
MB02,131,2041931872956014955,19,5.119713524636827,close hormuz strait
MB02,168,2041584356498555056,20,5.119713524636827,close hormuz strait
MB02,193,2041898599429156997,21,5.119713524636827,close hormuz strait
MB02,195,2040981683747324047,22,5.119713524636827,close hormuz strait
MB02,121,2041949040837837252,23,5.010575640775406,close hormuz strait
MB02,128,2041331812190798308,24,5.0049741470355045,close hormuz strait
MB02,139,2043927312765464994,25,5.0049741470355045,close hormuz strait
MB02,107,2044771965043400891,26,4.933581020904273,close hormuz strait
MB02,112,2044143012008124559,27,4.8952649512003426,close hormuz strait
MB02,126,2043363518292930693,28,4.8952649512003426,close hormuz strait
MB02,133,2043385244687151146,29,4.8952649512003426,close hormuz strait
MB03,230,2040755876144017464,0,5.2388224897208975,us base attack
MB03,260,2045112504867754154,1,5.157333770655038,us base attack
MB03,203,2039179006243926202,2,4.701912888759486,us base attack
MB03,280,2039018369110647293,3,4.678318321989015,us base attack
MB03,274,2040936761132552392,4,4.638979862116033,us base attack
MB03,250,2043515062267027870,5,4.577709246351262,us base attack
MB03,270,2041500399077929171,6,4.553877294115273,us base attack
MB03,219,2041136243082252670,7,4.518036029862918,us base attack
MB03,242,2043227373517324559,8,4.446491014913084,us base attack
MB03,276,2043268261878583582,9,4.407879636042489,us base attack
MB03,262,2041681711222649284,10,4.34799959430994,us base attack
MB03,205,2039668667571437732,11,4.324213926476178,us base attack
MB03,279,2041473438485729762,12,4.2923753212334645,us base attack
MB03,245,2040754946946285878,13,4.2738298550641645,us base attack
MB03,247,2041551703384735776,14,4.163729533638962,us base attack
MB03,261,2042726240302567447,15,4.163729533638962,us base attack
MB03,285,2043619210950050077,16,4.163729533638962,us base attack
MB03,288,2042960648993227137,17,4.163729533638962,us base attack
MB03,216,2041497394941186106,18,4.109194499714299,us base attack
MB03,225,2040921742693048626,19,4.091368292426962,us base attack
MB03,235,2041067504345165849,20,4.091368292426962,us base attack
MB03,290,2040030079653200036,21,4.066036118554668,us base attack
MB03,210,2043473123924717596,22,4.064050472044375,us base attack
MB03,228,2043473194577801435,23,4.064050472044375,us base attack
MB03,236,2041004698598084709,24,3.9970025101349993,us base attack
MB03,268,2041855968988778613,25,3.935328856334851,us base attack
MB03,258,2040873689349304648,26,3.8837859003335,us base attack
MB03,286,2039377679028551842,27,3.875274882088272,us base attack
MB03,277,2040350901848953257,28,3.8227345363778933,us base attack
MB03,200,2041127558146621848,29,3.818914033891409,us base attack
MB04,373,2044332687696007646,0,6.224923401224485,suprem leader khamenei
MB04,398,2042320390253645921,1,6.206785608471199,suprem leader khamenei
MB04,320,2042284703227490315,2,6.001384943427681,suprem leader khamenei
MB04,361,2041226127361155509,3,6.001384943427681,suprem leader khamenei
MB04,327,2042289031115846002,4,5.8949833890072,suprem leader khamenei
MB04,377,2042939580156903434,5,5.8949833890072,suprem leader khamenei
MB04,308,2044758042617544879,6,5.597888632643167,suprem leader khamenei
MB04,317,2042305244147687609,7,5.597888632643167,suprem leader khamenei
MB04,339,2041684285652914471,8,5.597888632643167,suprem leader khamenei
MB04,353,2042299737706045473,9,5.597888632643167,suprem leader khamenei
MB04,359,2041871039240573006,10,5.597888632643167,suprem leader khamenei
MB04,360,2042218734098448535,11,5.597888632643167,suprem leader khamenei
MB04,369,2044766808582861283,12,5.597888632643167,suprem leader khamenei
MB04,370,2042343832587530364,13,5.597888632643167,suprem leader khamenei
MB04,378,2041193593616887980,14,5.597888632643167,suprem leader khamenei
MB04,380,2041610793335107996,15,5.597888632643167,suprem leader khamenei
MB04,342,2040739737359561124,16,5.4751827320291095,suprem leader khamenei
MB04,362,2042302497323192771,17,5.4751827320291095,suprem leader khamenei
MB04,386,2042133298214752259,18,5.4751827320291095,suprem leader khamenei
MB04,343,2041666642682507426,19,5.357740877995516,suprem leader khamenei
MB04,368,2042296914566148286,20,5.357740877995516,suprem leader khamenei
MB04,371,2041194140697043388,21,5.326701467925105,suprem leader khamenei
MB04,391,2042308016532496740,22,5.257797469526277,suprem leader khamenei
MB04,309,2042863157425705399,23,5.245231444819642,suprem leader khamenei
MB04,328,2043302418360741979,24,5.245231444819642,suprem leader khamenei
MB04,330,2041686352152908064,25,5.137350089641482,suprem leader khamenei
MB04,381,2043327399140470967,26,5.137350089641482,suprem leader khamenei
MB04,389,2041687803843486000,27,5.12533562069553,suprem leader khamenei
MB04,375,2041979048478273699,28,5.061637575438159,suprem leader khamenei
MB04,321,2042332581614477464,29,5.0338170033042395,suprem leader khamenei
MB05,425,2043734546093363216,0,5.095565527377313,iran nuclear deal
MB05,405,2043740757551431682,1,4.967717675836657,iran nuclear deal
MB05,420,2042011945172078737,2,4.96084267574365,iran nuclear deal
MB05,417,2044839888529281482,3,4.935055120778351,iran nuclear deal
MB05,468,2043740177940787432,4,4.906169722528137,iran nuclear deal
MB05,459,2042655609758052624,5,4.84723533930005,iran nuclear deal
MB05,408,2042716172794183839,6,4.645566095076884,iran nuclear deal
MB05,415,2044664590861000822,7,4.645566095076884,iran nuclear deal
MB05,476,2042290941894021357,8,4.645566095076884,iran nuclear deal
MB05,442,2044838803412545953,9,4.5804410134476665,iran nuclear deal
MB05,446,2045014623611490711,10,4.559617052854833,iran nuclear deal
MB05,404,2044846387649540263,11,4.521800574334327,iran nuclear deal
MB05,477,2043686901496877456,12,4.471084656143747,iran nuclear deal
MB05,445,2044839563391074695,13,4.44655468960309,iran nuclear deal
MB05,478,2044844680240881851,14,4.44655468960309,iran nuclear deal
MB05,481,2041179340549861579,15,4.422811931303592,iran nuclear deal
MB05,469,2044953628277104991,16,4.411873891427253,iran nuclear deal
MB05,454,2045221035935412718,17,4.371099668713243,iran nuclear deal
MB05,490,2041663539530617263,18,4.363689749909637,iran nuclear deal
MB05,421,2044023564207018045,19,4.360505428078741,iran nuclear deal
MB05,491,2042425256670085567,20,4.35979293501952,iran nuclear deal
MB05,487,2044204573410386375,21,4.340073216082584,iran nuclear deal
MB05,427,2042370258434998753,22,4.303012443681202,iran nuclear deal
MB05,465,2045057147537330645,23,4.239161815559849,iran nuclear deal
MB05,455,2043749210231816633,24,4.235630032664275,iran nuclear deal
MB05,482,2042743058836410544,25,4.16984907995244,iran nuclear deal
MB05,407,2043342446034055330,26,4.15779520428522,iran nuclear deal
MB05,412,2044594602716336601,27,4.15779520428522,iran nuclear deal
MB05,403,2045162353226928573,28,4.072279705892,iran nuclear deal
MB05,473,2044027956763255016,29,4.060064770261418,iran nuclear deal
MB06,526,2044868780589789302,0,9.252979693840581,middl east conflict escal
MB06,540,2044860624304222674,1,9.252979693840581,middl east conflict escal
MB06,562,2042518019050512817,2,8.914980073236158,middl east conflict escal
